Orthogroup	ORYLA	LYTVA_ok
OG0000000	ORYLA04928	LYTVA_01679
OG0000000	ORYLA07037, ORYLA08538	LYTVA_23170
OG0000000	ORYLA05297	LYTVA_01380
OG0000000	ORYLA00843, ORYLA07411, ORYLA07410, ORYLA04925, ORYLA04924, ORYLA08113	LYTVA_01827
OG0000000	ORYLA18170	LYTVA_18988
OG0000000	ORYLA03677	LYTVA_13103
OG0000000	ORYLA11446	LYTVA_19974
OG0000000	ORYLA17165, ORYLA08246, ORYLA01821	LYTVA_08678
OG0000000	ORYLA15771	LYTVA_08668
OG0000000	ORYLA09108	LYTVA_23667
OG0000000	ORYLA17159, ORYLA15774, ORYLA08249, ORYLA17160	LYTVA_22477
OG0000000	ORYLA01825, ORYLA08248, ORYLA17161, ORYLA15775	LYTVA_22480
OG0000000	ORYLA09198, ORYLA12232, ORYLA10052	LYTVA_23047
OG0000000	ORYLA08225, ORYLA06162	LYTVA_14838
OG0000000	ORYLA03925, ORYLA14471, ORYLA05095, ORYLA19386, ORYLA19387	LYTVA_06897
OG0000000	ORYLA15773, ORYLA15772, ORYLA09896, ORYLA17158, ORYLA05618, ORYLA01824, ORYLA01826, ORYLA04682, ORYLA01827, ORYLA05617	LYTVA_22476
OG0000000	ORYLA01029, ORYLA04459	LYTVA_22714
OG0000000	ORYLA04630	LYTVA_09826
OG0000000	ORYLA17155, ORYLA01830, ORYLA09892	LYTVA_19015
OG0000000	ORYLA17729, ORYLA05044, ORYLA00932	LYTVA_26599
OG0000000	ORYLA17730, ORYLA05045, ORYLA01322	LYTVA_17046
OG0000000	ORYLA11797, ORYLA10603	LYTVA_23349
OG0000000	ORYLA10060	LYTVA_23351
OG0000001	ORYLA01767, ORYLA01768, ORYLA01766, ORYLA07199, ORYLA07206, ORYLA07208, ORYLA07207	LYTVA_19190, LYTVA_26158
OG0000002	ORYLA00438	LYTVA_16491, LYTVA_27186, LYTVA_12758, LYTVA_12336, LYTVA_23101, LYTVA_29091, LYTVA_16674, LYTVA_03491, LYTVA_18208, LYTVA_22589, LYTVA_22154, LYTVA_22588, LYTVA_25289
OG0000002	ORYLA12350	LYTVA_07084, LYTVA_09655, LYTVA_07085, LYTVA_29176
OG0000003	ORYLA05141	LYTVA_23212
OG0000004	ORYLA04400, ORYLA08919	LYTVA_11730
OG0000005	ORYLA04733	LYTVA_12392
OG0000006	ORYLA04794	LYTVA_27651
OG0000006	ORYLA13204, ORYLA13568, ORYLA06565	LYTVA_15901
OG0000006	ORYLA20407, ORYLA03595	LYTVA_21289
OG0000006	ORYLA03421, ORYLA09483	LYTVA_12321
OG0000006	ORYLA15680, ORYLA07217, ORYLA12345, ORYLA14784	LYTVA_25253
OG0000006	ORYLA10511, ORYLA11827	LYTVA_07373
OG0000006	ORYLA16517	LYTVA_23957
OG0000006	ORYLA16515	LYTVA_14827
OG0000006	ORYLA17394	LYTVA_29757
OG0000006	ORYLA05082	LYTVA_18169
OG0000006	ORYLA20473, ORYLA04673, ORYLA03873	LYTVA_29412, LYTVA_25462
OG0000006	ORYLA03827, ORYLA03500, ORYLA10460, ORYLA00215, ORYLA04762	LYTVA_16844
OG0000006	ORYLA04691	LYTVA_08878
OG0000007	ORYLA13334	LYTVA_29912
OG0000007	ORYLA14937, ORYLA17526	LYTVA_22273
OG0000007	ORYLA03070, ORYLA10601, ORYLA19360	LYTVA_23216
OG0000007	ORYLA00267, ORYLA17457, ORYLA13245, ORYLA02416, ORYLA13595	LYTVA_27359
OG0000007	ORYLA18472	LYTVA_29395
OG0000007	ORYLA15197	LYTVA_10898
OG0000007	ORYLA13335, ORYLA07003, ORYLA12464	LYTVA_04121
OG0000007	ORYLA13010	LYTVA_25288
OG0000007	ORYLA03471, ORYLA17615	LYTVA_03206
OG0000007	ORYLA01042, ORYLA11394, ORYLA05164	LYTVA_12379, LYTVA_12378
OG0000007	ORYLA00561, ORYLA16283, ORYLA08278	LYTVA_12480
OG0000007	ORYLA16317	LYTVA_06652
OG0000007	ORYLA15605, ORYLA13871, ORYLA05828	LYTVA_19839
OG0000007	ORYLA10158, ORYLA04736	LYTVA_05177
OG0000008	ORYLA01591, ORYLA05589, ORYLA06938	LYTVA_19305
OG0000012	ORYLA07628	LYTVA_11199, LYTVA_24773, LYTVA_27764
OG0000012	ORYLA15199	LYTVA_12515, LYTVA_06149
OG0000014	ORYLA11600, ORYLA01088	LYTVA_13955
OG0000014	ORYLA07812, ORYLA17200	LYTVA_23372
OG0000015	ORYLA04638, ORYLA19973, ORYLA01229, ORYLA13511, ORYLA08714, ORYLA04332, ORYLA10753	LYTVA_26004
OG0000015	ORYLA03899, ORYLA10757, ORYLA08711, ORYLA01414, ORYLA19970, ORYLA04333, ORYLA13514, ORYLA08713, ORYLA08712, ORYLA13513, ORYLA01230, ORYLA01413, ORYLA19971	LYTVA_26002
OG0000015	ORYLA09940, ORYLA09941, ORYLA00953, ORYLA04300, ORYLA18852, ORYLA01514	LYTVA_09631, LYTVA_17348, LYTVA_06152
OG0000016	ORYLA12720, ORYLA00945	LYTVA_02179, LYTVA_09460, LYTVA_20745
OG0000016	ORYLA17171, ORYLA00784, ORYLA19764	LYTVA_21831, LYTVA_18288
OG0000016	ORYLA09921	LYTVA_27143
OG0000016	ORYLA00030	LYTVA_03299, LYTVA_00787
OG0000016	ORYLA11245, ORYLA15380	LYTVA_26617, LYTVA_17022, LYTVA_17023, LYTVA_17018, LYTVA_17017, LYTVA_17021, LYTVA_10327, LYTVA_03034, LYTVA_01978
OG0000018	ORYLA02836, ORYLA14501	LYTVA_18794
OG0000018	ORYLA18860, ORYLA00684, ORYLA17944	LYTVA_28161, LYTVA_00818
OG0000019	ORYLA16405, ORYLA07040	LYTVA_17120
OG0000019	ORYLA07041, ORYLA14014, ORYLA15975, ORYLA16411, ORYLA20089, ORYLA20088	LYTVA_01420
OG0000020	ORYLA12531	LYTVA_19355
OG0000020	ORYLA15493	LYTVA_21318
OG0000020	ORYLA10559	LYTVA_09793
OG0000020	ORYLA06663	LYTVA_04298
OG0000020	ORYLA16080	LYTVA_23496
OG0000020	ORYLA09855	LYTVA_05479
OG0000020	ORYLA06900, ORYLA09950	LYTVA_08129
OG0000020	ORYLA16727	LYTVA_26447
OG0000020	ORYLA06780	LYTVA_23009
OG0000020	ORYLA01097, ORYLA00349	LYTVA_12234
OG0000020	ORYLA15647	LYTVA_17081
OG0000020	ORYLA00902	LYTVA_06231
OG0000020	ORYLA02546	LYTVA_09530
OG0000020	ORYLA06519	LYTVA_00542
OG0000021	ORYLA13904, ORYLA15936, ORYLA11094	LYTVA_04917
OG0000021	ORYLA20207, ORYLA15834	LYTVA_13831
OG0000021	ORYLA12641, ORYLA05479	LYTVA_10118
OG0000021	ORYLA03698, ORYLA17601	LYTVA_09991
OG0000021	ORYLA12092, ORYLA14389	LYTVA_28466, LYTVA_02036, LYTVA_14564, LYTVA_23987, LYTVA_25778
OG0000021	ORYLA06753	LYTVA_00398, LYTVA_01830, LYTVA_09376, LYTVA_05943, LYTVA_10849
OG0000023	ORYLA08126	LYTVA_11225
OG0000023	ORYLA02861, ORYLA18687, ORYLA06733, ORYLA07486, ORYLA12741, ORYLA15296, ORYLA13800, ORYLA07073, ORYLA08963, ORYLA07951, ORYLA02776, ORYLA01476	LYTVA_05858, LYTVA_00206, LYTVA_12353, LYTVA_13074
OG0000023	ORYLA03721, ORYLA03720, ORYLA12643, ORYLA15685, ORYLA18659, ORYLA18660	LYTVA_24785
OG0000024	ORYLA12557, ORYLA19130, ORYLA18208, ORYLA03774, ORYLA18873, ORYLA03822, ORYLA04064	LYTVA_01628, LYTVA_03378
OG0000028	ORYLA20303, ORYLA20302, ORYLA00834, ORYLA01103, ORYLA05749, ORYLA01547	LYTVA_12763
OG0000029	ORYLA01422, ORYLA01423, ORYLA13081, ORYLA13154, ORYLA04292, ORYLA04294, ORYLA04293, ORYLA15257, ORYLA13110, ORYLA02813, ORYLA04764, ORYLA00213, ORYLA03112	LYTVA_19555, LYTVA_01403, LYTVA_23870
OG0000029	ORYLA15906	LYTVA_02569, LYTVA_10073
OG0000030	ORYLA18077	LYTVA_13667
OG0000030	ORYLA01628, ORYLA19626, ORYLA02922	LYTVA_26760
OG0000030	ORYLA07170	LYTVA_28697
OG0000030	ORYLA20234	LYTVA_27291, LYTVA_25957
OG0000031	ORYLA09861, ORYLA15740	LYTVA_04157, LYTVA_03000
OG0000031	ORYLA13928, ORYLA09882, ORYLA05598, ORYLA01771	LYTVA_07242
OG0000031	ORYLA01770	LYTVA_07394
OG0000031	ORYLA06561	LYTVA_19491
OG0000031	ORYLA10394, ORYLA11971	LYTVA_13645
OG0000031	ORYLA04591, ORYLA04917	LYTVA_05124
OG0000031	ORYLA06754, ORYLA07156, ORYLA02513	LYTVA_29658
OG0000031	ORYLA09459, ORYLA08614, ORYLA06390	LYTVA_09735
OG0000031	ORYLA06240	LYTVA_24172
OG0000032	ORYLA14771, ORYLA03482, ORYLA10827, ORYLA12826, ORYLA04475, ORYLA04474, ORYLA14976, ORYLA12717	LYTVA_21601, LYTVA_15486, LYTVA_13671, LYTVA_08468, LYTVA_02734
OG0000032	ORYLA15502	LYTVA_00916, LYTVA_07790, LYTVA_22021, LYTVA_08868, LYTVA_21508, LYTVA_13715, LYTVA_12246, LYTVA_11875, LYTVA_02746
OG0000032	ORYLA06416	LYTVA_26011, LYTVA_24216, LYTVA_22020
OG0000033	ORYLA01373	LYTVA_04922, LYTVA_07303, LYTVA_11528, LYTVA_02656, LYTVA_01378, LYTVA_09579, LYTVA_17007, LYTVA_04337, LYTVA_20141, LYTVA_23929, LYTVA_14663, LYTVA_12466
OG0000034	ORYLA16358, ORYLA12476, ORYLA15138, ORYLA11195, ORYLA16147	LYTVA_09293
OG0000034	ORYLA17140, ORYLA07963, ORYLA14023, ORYLA15996, ORYLA11192, ORYLA14993, ORYLA14558	LYTVA_04080
OG0000034	ORYLA07312	LYTVA_29167, LYTVA_10612
OG0000034	ORYLA12339, ORYLA14860	LYTVA_11788
OG0000034	ORYLA19697	LYTVA_12673
OG0000034	ORYLA14655	LYTVA_06697
OG0000035	ORYLA11104, ORYLA14870, ORYLA12119	LYTVA_27828
OG0000035	ORYLA18031, ORYLA17191, ORYLA15336, ORYLA11216	LYTVA_22468
OG0000035	ORYLA13992, ORYLA14838, ORYLA12754, ORYLA14991, ORYLA14992, ORYLA11268	LYTVA_12116
OG0000035	ORYLA17117, ORYLA14783	LYTVA_04128
OG0000036	ORYLA15615, ORYLA15153, ORYLA07495, ORYLA20280, ORYLA12724	LYTVA_03325, LYTVA_20435, LYTVA_20437, LYTVA_25631, LYTVA_25629, LYTVA_25630, LYTVA_25628, LYTVA_10478, LYTVA_03947
OG0000036	ORYLA12571	LYTVA_07532, LYTVA_03326, LYTVA_18880, LYTVA_25896
OG0000037	ORYLA15954, ORYLA02209, ORYLA10771, ORYLA11448	LYTVA_02747
OG0000037	ORYLA04725	LYTVA_25050, LYTVA_25057, LYTVA_25048
OG0000038	ORYLA16179	LYTVA_19606, LYTVA_09821
OG0000038	ORYLA06128	LYTVA_04990
OG0000038	ORYLA08393, ORYLA09754	LYTVA_09823
OG0000039	ORYLA07496	LYTVA_16233
OG0000039	ORYLA15984, ORYLA18454, ORYLA16125, ORYLA16124	LYTVA_13062
OG0000040	ORYLA18356	LYTVA_16038, LYTVA_13614, LYTVA_19660
OG0000040	ORYLA04843, ORYLA04845, ORYLA04842, ORYLA04841, ORYLA18544, ORYLA18406	LYTVA_16039, LYTVA_16036, LYTVA_22091, LYTVA_29527, LYTVA_27351, LYTVA_03168, LYTVA_11912, LYTVA_06756, LYTVA_18912, LYTVA_12532, LYTVA_15738, LYTVA_27452, LYTVA_05580, LYTVA_25285
OG0000041	ORYLA16345, ORYLA07970, ORYLA13989, ORYLA15806, ORYLA13990, ORYLA15807, ORYLA14735, ORYLA19535, ORYLA15808, ORYLA14736, ORYLA19536, ORYLA12118	LYTVA_25852
OG0000041	ORYLA13695, ORYLA09068	LYTVA_03177
OG0000043	ORYLA03388	LYTVA_12710
OG0000044	ORYLA04503, ORYLA10718, ORYLA02275, ORYLA17868, ORYLA05261	LYTVA_11853
OG0000044	ORYLA01028, ORYLA01286, ORYLA09105, ORYLA12800	LYTVA_10017
OG0000046	ORYLA00520	LYTVA_22286
OG0000048	ORYLA19472	LYTVA_06179
OG0000048	ORYLA17217	LYTVA_15043
OG0000048	ORYLA14101	LYTVA_26635
OG0000048	ORYLA08002	LYTVA_27999
OG0000048	ORYLA11420	LYTVA_08149
OG0000048	ORYLA15054	LYTVA_11620
OG0000049	ORYLA11559, ORYLA19044, ORYLA04067, ORYLA03584	LYTVA_16567
OG0000049	ORYLA13704, ORYLA13828, ORYLA15018	LYTVA_21152
OG0000049	ORYLA14190, ORYLA14191, ORYLA11029	LYTVA_02138
OG0000051	ORYLA05117	LYTVA_02533, LYTVA_15636, LYTVA_24100, LYTVA_12428
OG0000052	ORYLA18368, ORYLA18615, ORYLA19851	LYTVA_24950, LYTVA_15380, LYTVA_15866, LYTVA_01043, LYTVA_25360, LYTVA_13343, LYTVA_27172, LYTVA_14727, LYTVA_07095, LYTVA_26162
OG0000054	ORYLA00519	LYTVA_11502, LYTVA_10035, LYTVA_09103
OG0000056	ORYLA07324, ORYLA00315, ORYLA13076, ORYLA07014, ORYLA16605, ORYLA00874, ORYLA00878, ORYLA16604, ORYLA13077	LYTVA_03272
OG0000056	ORYLA17860	LYTVA_17286
OG0000057	ORYLA17686, ORYLA14639, ORYLA12170	LYTVA_05797, LYTVA_22815
OG0000058	ORYLA11907	LYTVA_13091
OG0000058	ORYLA18104	LYTVA_14430
OG0000058	ORYLA11895, ORYLA12524, ORYLA19070	LYTVA_16698
OG0000058	ORYLA18100, ORYLA18099, ORYLA18101, ORYLA18068	LYTVA_01608
OG0000059	ORYLA09176	LYTVA_18957
OG0000059	ORYLA04122, ORYLA03135, ORYLA01146	LYTVA_06967, LYTVA_19211, LYTVA_17534
OG0000060	ORYLA01946, ORYLA04743	LYTVA_30158, LYTVA_18098
OG0000060	ORYLA16841, ORYLA08032, ORYLA12328, ORYLA14832, ORYLA15092	LYTVA_10196
OG0000061	ORYLA09666, ORYLA08403, ORYLA01785, ORYLA15422	LYTVA_16102
OG0000061	ORYLA10018, ORYLA07904, ORYLA07058, ORYLA16623, ORYLA08006, ORYLA08288, ORYLA08710, ORYLA09144, ORYLA06720, ORYLA07094, ORYLA13357, ORYLA13574, ORYLA07095, ORYLA13356, ORYLA06400, ORYLA19115	LYTVA_20900
OG0000061	ORYLA07060, ORYLA08273	LYTVA_02993, LYTVA_26455, LYTVA_26459
OG0000062	ORYLA08512, ORYLA08511, ORYLA08509, ORYLA03554, ORYLA03555, ORYLA03552, ORYLA03551, ORYLA18546	LYTVA_15332, LYTVA_27501, LYTVA_24383, LYTVA_01528, LYTVA_05092
OG0000062	ORYLA10585, ORYLA11804	LYTVA_18550
OG0000063	ORYLA06843, ORYLA13091, ORYLA13092, ORYLA07328, ORYLA00312, ORYLA12933	LYTVA_03474
OG0000063	ORYLA19987, ORYLA10868, ORYLA20199	LYTVA_28622
OG0000063	ORYLA14082, ORYLA04940, ORYLA08134	LYTVA_16178
OG0000066	ORYLA06398	LYTVA_14724
OG0000067	ORYLA04851, ORYLA01183, ORYLA06203, ORYLA19414	LYTVA_07502, LYTVA_25538, LYTVA_09112, LYTVA_09554, LYTVA_15190, LYTVA_26045
OG0000069	ORYLA03826	LYTVA_19096
OG0000070	ORYLA11329, ORYLA09412	LYTVA_12849
OG0000070	ORYLA07085, ORYLA17312	LYTVA_15079, LYTVA_12105, LYTVA_23845, LYTVA_23846, LYTVA_20695, LYTVA_28943, LYTVA_15085, LYTVA_24840, LYTVA_07974, LYTVA_17344, LYTVA_15317
OG0000072	ORYLA00527, ORYLA04050, ORYLA03176	LYTVA_26888
OG0000072	ORYLA20464	LYTVA_23422
OG0000072	ORYLA05266	LYTVA_09419
OG0000073	ORYLA09058, ORYLA06772, ORYLA12397, ORYLA18725	LYTVA_03728
OG0000074	ORYLA10949, ORYLA14220, ORYLA15431, ORYLA07396, ORYLA07397	LYTVA_27116, LYTVA_29211, LYTVA_07270, LYTVA_29253, LYTVA_09687
OG0000074	ORYLA15428	LYTVA_17968
OG0000075	ORYLA08229, ORYLA07050	LYTVA_00904
OG0000075	ORYLA10050	LYTVA_07044
OG0000075	ORYLA15750	LYTVA_01857
OG0000075	ORYLA14687, ORYLA10924, ORYLA15926	LYTVA_12523
OG0000077	ORYLA00390, ORYLA03856, ORYLA01218, ORYLA02852, ORYLA17787	LYTVA_24286
OG0000077	ORYLA17383, ORYLA00897, ORYLA04945, ORYLA12034, ORYLA00844, ORYLA07409	LYTVA_08553
OG0000078	ORYLA13083, ORYLA13994, ORYLA10833	LYTVA_29043, LYTVA_19852, LYTVA_29449, LYTVA_29039, LYTVA_11835, LYTVA_17100, LYTVA_30099, LYTVA_09049, LYTVA_20648
OG0000079	ORYLA09899, ORYLA15778, ORYLA00899, ORYLA18734, ORYLA00922, ORYLA20485, ORYLA00903	LYTVA_19637, LYTVA_24538, LYTVA_21250
OG0000079	ORYLA04303, ORYLA04302, ORYLA14111, ORYLA18726	LYTVA_05934
OG0000079	ORYLA13165	LYTVA_06214, LYTVA_17750
OG0000082	ORYLA02580	LYTVA_25888
OG0000082	ORYLA01470	LYTVA_18803
OG0000082	ORYLA09330	LYTVA_21157, LYTVA_15644, LYTVA_26329
OG0000083	ORYLA04024, ORYLA20424	LYTVA_26815
OG0000084	ORYLA03408, ORYLA10403, ORYLA17750, ORYLA02676, ORYLA07195, ORYLA01287	LYTVA_14799
OG0000085	ORYLA08236, ORYLA01683, ORYLA05503, ORYLA09818	LYTVA_19136
OG0000085	ORYLA04311, ORYLA03740, ORYLA02606	LYTVA_13307
OG0000085	ORYLA06168	LYTVA_05365
OG0000085	ORYLA17935	LYTVA_17776
OG0000085	ORYLA02243, ORYLA05178	LYTVA_06708
OG0000087	ORYLA07293	LYTVA_15159
OG0000087	ORYLA15867	LYTVA_04512
OG0000088	ORYLA04999, ORYLA08099, ORYLA14560, ORYLA12098, ORYLA15363, ORYLA09175, ORYLA13524	LYTVA_25176, LYTVA_22082, LYTVA_14006, LYTVA_21232, LYTVA_01236, LYTVA_20639, LYTVA_10043, LYTVA_19532, LYTVA_01363, LYTVA_15031, LYTVA_01366, LYTVA_27296, LYTVA_08261, LYTVA_00566, LYTVA_29559, LYTVA_14054, LYTVA_14936, LYTVA_12867, LYTVA_29601, LYTVA_12865, LYTVA_28455
OG0000089	ORYLA03928, ORYLA01015, ORYLA09345, ORYLA11332	LYTVA_06777, LYTVA_25975
OG0000090	ORYLA02080, ORYLA06082	LYTVA_02577
OG0000090	ORYLA01746, ORYLA06194	LYTVA_18395, LYTVA_13128
OG0000091	ORYLA02531	LYTVA_04137
OG0000093	ORYLA18765, ORYLA18669, ORYLA15023, ORYLA11108, ORYLA13845	LYTVA_29075, LYTVA_25106, LYTVA_28477, LYTVA_25104
OG0000094	ORYLA11069, ORYLA13785, ORYLA15547, ORYLA16049, ORYLA16240	LYTVA_10290
OG0000094	ORYLA07022, ORYLA13648, ORYLA16827, ORYLA02928, ORYLA18149	LYTVA_09221
OG0000096	ORYLA01048, ORYLA09916, ORYLA08764, ORYLA06904, ORYLA03328	LYTVA_28490
OG0000096	ORYLA16077, ORYLA13956, ORYLA11296	LYTVA_12286
OG0000096	ORYLA13747, ORYLA08870	LYTVA_21388
OG0000096	ORYLA15103, ORYLA16842, ORYLA19281, ORYLA15104	LYTVA_19397
OG0000096	ORYLA12353, ORYLA17186	LYTVA_24298
OG0000096	ORYLA10017	LYTVA_20858
OG0000098	ORYLA17178, ORYLA07954, ORYLA12107, ORYLA12108, ORYLA09777	LYTVA_15643
OG0000098	ORYLA12605, ORYLA17802, ORYLA17803, ORYLA14930, ORYLA14929, ORYLA14928, ORYLA12061, ORYLA17722, ORYLA17721	LYTVA_24589, LYTVA_16909
