Orthogroup	ORYLA	APOSJ_ok
OG0000000	ORYLA04928	APOSJ_57731, APOSJ_57730, APOSJ_57727, APOSJ_21243, APOSJ_60924, APOSJ_57729, APOSJ_57728, APOSJ_21237, APOSJ_45288, APOSJ_48391, APOSJ_48390, APOSJ_34578
OG0000000	ORYLA05297	APOSJ_43984, APOSJ_47154
OG0000000	ORYLA18170	APOSJ_18686
OG0000000	ORYLA02858, ORYLA12900	APOSJ_32352
OG0000000	ORYLA03677	APOSJ_18136
OG0000000	ORYLA11446	APOSJ_60507
OG0000000	ORYLA17165, ORYLA08246, ORYLA01821	APOSJ_35597, APOSJ_35599, APOSJ_35598, APOSJ_23220
OG0000000	ORYLA09108	APOSJ_36728
OG0000000	ORYLA17159, ORYLA15774, ORYLA08249, ORYLA17160	APOSJ_61187, APOSJ_61188, APOSJ_61189, APOSJ_61190
OG0000000	ORYLA01825, ORYLA08248, ORYLA17161, ORYLA15775	APOSJ_40396
OG0000000	ORYLA09198, ORYLA12232, ORYLA10052	APOSJ_37520
OG0000000	ORYLA08225, ORYLA06162	APOSJ_38857, APOSJ_38860
OG0000000	ORYLA03925, ORYLA14471, ORYLA05095, ORYLA19386, ORYLA19387	APOSJ_32562, APOSJ_32561
OG0000000	ORYLA15773, ORYLA15772, ORYLA09896, ORYLA17158, ORYLA05618, ORYLA01824, ORYLA01826, ORYLA04682, ORYLA01827, ORYLA05617	APOSJ_47531, APOSJ_29010
OG0000000	ORYLA01029, ORYLA04459	APOSJ_33475, APOSJ_26082, APOSJ_33473, APOSJ_26081
OG0000000	ORYLA17729, ORYLA05044, ORYLA00932	APOSJ_56734
OG0000000	ORYLA17730, ORYLA05045, ORYLA01322	APOSJ_31415
OG0000000	ORYLA11797, ORYLA10603	APOSJ_11629, APOSJ_11635, APOSJ_11634, APOSJ_11633
OG0000000	ORYLA10060	APOSJ_02527
OG0000001	ORYLA00821, ORYLA00820, ORYLA00819, ORYLA06087, ORYLA01582, ORYLA19233, ORYLA01576, ORYLA01896, ORYLA01897	APOSJ_12278, APOSJ_36722
OG0000002	ORYLA00438	APOSJ_41244, APOSJ_49613, APOSJ_35530, APOSJ_35532, APOSJ_35531, APOSJ_22870, APOSJ_53783, APOSJ_53781, APOSJ_65202, APOSJ_53782, APOSJ_49075, APOSJ_49076, APOSJ_49077, APOSJ_49074, APOSJ_49072, APOSJ_49071, APOSJ_54427, APOSJ_17873
OG0000002	ORYLA13467, ORYLA16691	APOSJ_21931
OG0000003	ORYLA18464	APOSJ_07258
OG0000005	ORYLA04733	APOSJ_43564, APOSJ_43561
OG0000006	ORYLA13204, ORYLA13568, ORYLA06565	APOSJ_14510
OG0000006	ORYLA20407, ORYLA03595	APOSJ_43757
OG0000006	ORYLA13382	APOSJ_51998, APOSJ_52011, APOSJ_51992, APOSJ_23178
OG0000006	ORYLA15680, ORYLA07217, ORYLA12345, ORYLA14784	APOSJ_53154, APOSJ_09913, APOSJ_45177, APOSJ_09916, APOSJ_63967, APOSJ_09917
OG0000006	ORYLA16517	APOSJ_52128
OG0000006	ORYLA16515	APOSJ_22887
OG0000006	ORYLA17394	APOSJ_25002
OG0000006	ORYLA05082	APOSJ_24425, APOSJ_24424
OG0000006	ORYLA20473, ORYLA04673, ORYLA03873	APOSJ_38154
OG0000006	ORYLA03827, ORYLA03500, ORYLA10460, ORYLA00215, ORYLA04762	APOSJ_46492
OG0000007	ORYLA13334	APOSJ_59584
OG0000007	ORYLA14937, ORYLA17526	APOSJ_54414, APOSJ_55946, APOSJ_54415
OG0000007	ORYLA03070, ORYLA10601, ORYLA19360	APOSJ_59909
OG0000007	ORYLA00267, ORYLA17457, ORYLA13245, ORYLA02416, ORYLA13595	APOSJ_46494
OG0000007	ORYLA10719	APOSJ_04151
OG0000007	ORYLA15197	APOSJ_32909
OG0000007	ORYLA13335, ORYLA07003, ORYLA12464	APOSJ_33751
OG0000007	ORYLA03471, ORYLA17615	APOSJ_45510, APOSJ_50337
OG0000007	ORYLA01042, ORYLA11394, ORYLA05164	APOSJ_45418, APOSJ_45416, APOSJ_16951, APOSJ_45417
OG0000007	ORYLA00561, ORYLA16283, ORYLA08278	APOSJ_06582, APOSJ_20594
OG0000007	ORYLA16317	APOSJ_16847, APOSJ_57982, APOSJ_16846
OG0000007	ORYLA15605, ORYLA13871, ORYLA05828	APOSJ_33873, APOSJ_55281, APOSJ_26156, APOSJ_33878
OG0000007	ORYLA10158, ORYLA04736	APOSJ_55940, APOSJ_55941
OG0000008	ORYLA02437, ORYLA18129	APOSJ_61175
OG0000008	ORYLA01591, ORYLA05589, ORYLA06938	APOSJ_50496
OG0000010	ORYLA15708	APOSJ_38780, APOSJ_21761
OG0000011	ORYLA04501	APOSJ_09282
OG0000012	ORYLA07628	APOSJ_58905, APOSJ_58906, APOSJ_58904, APOSJ_58903, APOSJ_58902, APOSJ_08161, APOSJ_08160
OG0000012	ORYLA15199	APOSJ_20422
OG0000013	ORYLA20078, ORYLA06697, ORYLA06696, ORYLA19175, ORYLA17235, ORYLA08330, ORYLA16166, ORYLA16167, ORYLA07272, ORYLA19251, ORYLA12627, ORYLA12626, ORYLA19586, ORYLA04041, ORYLA12625, ORYLA19174	APOSJ_50056, APOSJ_01943
OG0000014	ORYLA11600, ORYLA01088	APOSJ_28331, APOSJ_28332
OG0000014	ORYLA07812, ORYLA17200	APOSJ_23867, APOSJ_22503
OG0000015	ORYLA00867, ORYLA20430, ORYLA00866	APOSJ_33839
OG0000015	ORYLA19973, ORYLA01229, ORYLA13511, ORYLA08714, ORYLA04332, ORYLA10753	APOSJ_09441, APOSJ_10165
OG0000015	ORYLA03899, ORYLA10757, ORYLA08711, ORYLA01414, ORYLA19970, ORYLA04333, ORYLA13514, ORYLA08713, ORYLA08712, ORYLA13513, ORYLA01230, ORYLA01413, ORYLA19971	APOSJ_53813, APOSJ_50846, APOSJ_50844
OG0000016	ORYLA12720, ORYLA00945	APOSJ_25810, APOSJ_25809, APOSJ_38950, APOSJ_38952, APOSJ_43457
OG0000016	ORYLA17171, ORYLA00784, ORYLA19764	APOSJ_40020
OG0000016	ORYLA09921	APOSJ_51950, APOSJ_51936, APOSJ_51946, APOSJ_40118, APOSJ_12454, APOSJ_33617, APOSJ_06716, APOSJ_06717
OG0000016	ORYLA00030	APOSJ_31207
OG0000016	ORYLA08665	APOSJ_03790
OG0000016	ORYLA11245, ORYLA15380	APOSJ_11248
OG0000018	ORYLA02836, ORYLA14501	APOSJ_27177, APOSJ_35802, APOSJ_41144, APOSJ_61457, APOSJ_61458, APOSJ_62289, APOSJ_61461, APOSJ_61462, APOSJ_41143, APOSJ_61459, APOSJ_65410, APOSJ_56262, APOSJ_12569, APOSJ_25320, APOSJ_04276, APOSJ_51121, APOSJ_05958
OG0000018	ORYLA18860, ORYLA00684, ORYLA17944	APOSJ_32266, APOSJ_22620, APOSJ_12404, APOSJ_49135, APOSJ_49134, APOSJ_02340, APOSJ_02344, APOSJ_62914
OG0000019	ORYLA16405, ORYLA07040	APOSJ_25021
OG0000019	ORYLA07041, ORYLA14014, ORYLA15975, ORYLA16411, ORYLA20089, ORYLA20088	APOSJ_49365
OG0000020	ORYLA12531	APOSJ_03215
OG0000020	ORYLA10559	APOSJ_60863, APOSJ_38143, APOSJ_60862
OG0000020	ORYLA06663	APOSJ_25225, APOSJ_25228, APOSJ_25227, APOSJ_25226, APOSJ_25224, APOSJ_25223
OG0000020	ORYLA16727	APOSJ_45822, APOSJ_45820, APOSJ_45821
