Orthogroup	LYTVA_ok	Other
OG0000003	LYTVA_04875, LYTVA_10217	CAEEL18127
OG0000003	LYTVA_04875, LYTVA_10217	BRALA07140
OG0000003	LYTVA_04875, LYTVA_10217	AENJA_15435
OG0000003	LYTVA_04875, LYTVA_10217	OFUSG21334.1.p1
OG0000005	LYTVA_24142	SCHMD09862, SCHMD04325
OG0000016	LYTVA_26617, LYTVA_17022, LYTVA_17023, LYTVA_17018, LYTVA_17017, LYTVA_17021, LYTVA_10327, LYTVA_03034, LYTVA_01978	BRALA33982
OG0000020	LYTVA_06231	ASTMX22736
OG0000021	LYTVA_14564	MOUSE44446
OG0000026	LYTVA_19796	OFUSG03608.1.p1, OFUSG03465.1.p1, OFUSG09167.1.p1, OFUSG15979.1.p1, OFUSG18705.1.p1, OFUSG16962.1.p1, OFUSG18029.1.p1
OG0000038	LYTVA_14520	DANRE23401
OG0000038	LYTVA_14520	SACKO_00016
OG0000038	LYTVA_14520	ASTMX05291
OG0000038	LYTVA_14520	AENJA_26313
OG0000038	LYTVA_14520	TCONS_00001544.p1
OG0000038	LYTVA_14520	OFUSG04771.1.p1
OG0000038	LYTVA_14520	SCHMD07372
OG0000038	LYTVA_14520	HUMAN18258
OG0000038	LYTVA_14520	AMPFI_03880
OG0000038	LYTVA_14520	BRALA13194
OG0000038	LYTVA_14520	APOSJ_58733
OG0000038	LYTVA_14520	APOSC_17001
OG0000041	LYTVA_03177	DANRE27216
OG0000052	LYTVA_15866	TCONS_00001838.p1
OG0000052	LYTVA_15866	AENJA_25043, AENJA_26054, AENJA_00223
OG0000052	LYTVA_15866	AMPFI_13833, AMPFI_12690, AMPFI_19427, AMPFI_04582, AMPFI_02325, AMPFI_23491
OG0000052	LYTVA_01043	AMPFI_05841, AMPFI_24118, AMPFI_20511, AMPFI_08366, AMPFI_13707, AMPFI_14605, AMPFI_11434, AMPFI_03965, AMPFI_20512, AMPFI_13505, AMPFI_14163, AMPFI_22708, AMPFI_14350, AMPFI_13327, AMPFI_07170, AMPFI_10973, AMPFI_20869, AMPFI_16702, AMPFI_09892, AMPFI_19128, AMPFI_20552, AMPFI_11422, AMPFI_14308
OG0000052	LYTVA_01043	AENJA_03349, AENJA_13979
OG0000052	LYTVA_01043	bflo_05170
OG0000052	LYTVA_01043	BRALA23403, BRALA12582, BRALA24313, BRALA03336, BRALA01309, BRALA00341, BRALA01921, BRALA17134, BRALA09402, BRALA13022, BRALA11458, BRALA26226, BRALA32281, BRALA31303
OG0000052	LYTVA_01043	TCONS_00020617.p1
OG0000055	LYTVA_09126, LYTVA_26970, LYTVA_18344	SACKO_10925
OG0000068	LYTVA_12287	AMPFI_04648, AMPFI_15422, AMPFI_22045, AMPFI_24986, AMPFI_14044, AMPFI_25888
OG0000068	LYTVA_12287	MOUSE02010
OG0000068	LYTVA_12287	ASTMX22587
OG0000068	LYTVA_12287	APOSJ_18613
OG0000068	LYTVA_12287	APOSC_02568
OG0000068	LYTVA_12287	AENJA_02187, AENJA_15847, AENJA_18813, AENJA_15846, AENJA_08645, AENJA_17392, AENJA_01993, AENJA_10902
OG0000069	LYTVA_19096	MOUSE24598, MOUSE24599
OG0000089	LYTVA_15322	APOSJ_11659, APOSJ_42252
OG0000089	LYTVA_15322	AMPFI_24059
OG0000089	LYTVA_28799	AMPFI_03609
OG0000094	LYTVA_09221	ASTMX08392
OG0000094	LYTVA_09221	MOUSE25209
OG0000094	LYTVA_09221	HUMAN14814, HUMAN29867, HUMAN14812
OG0000098	LYTVA_15643	XENTR18632
OG0000101	LYTVA_03793	BRALA34771
OG0000101	LYTVA_03793	TCONS_00000321.p1
OG0000124	LYTVA_14993	DANRE08738
OG0000124	LYTVA_14993	TCONS_00022673.p1
OG0000124	LYTVA_14993	MOUSE45403
OG0000128	LYTVA_25168	ASTMX18325
OG0000128	LYTVA_25168	HUMAN21996
OG0000166	LYTVA_08486	BRALA33546
OG0000166	LYTVA_08486	MOUSE46601, MOUSE46183
OG0000166	LYTVA_08486	DANRE39976
OG0000166	LYTVA_08486	SCHMD08400
OG0000166	LYTVA_08486	TCONS_00044259.p1
OG0000166	LYTVA_13825	BRALA33546
OG0000166	LYTVA_13825	MOUSE46601, MOUSE46183
OG0000166	LYTVA_13825	DANRE39976
OG0000166	LYTVA_13825	SCHMD08400
OG0000185	LYTVA_27187	APOSJ_00507
OG0000192	LYTVA_22840	DANRE39461
OG0000208	LYTVA_05690, LYTVA_05691	HUMAN11859
OG0000208	LYTVA_28941	HUMAN11860
OG0000227	LYTVA_00289, LYTVA_24191	bflo_10496
OG0000227	LYTVA_00289	OFUSG15888.1.p1
OG0000241	LYTVA_07057, LYTVA_11465, LYTVA_05117	APOSJ_36030, APOSJ_36033, APOSJ_34568
OG0000265	LYTVA_27571	XENTR04690
OG0000265	LYTVA_27571	ASTMX17905
OG0000265	LYTVA_27571	NEMVE16690
OG0000265	LYTVA_27571	SACKO_28292
OG0000265	LYTVA_27571	SACKO_28292
OG0000265	LYTVA_27571	MOUSE24034, MOUSE24037, MOUSE25772
OG0000265	LYTVA_27571	DANRE17651
OG0000265	LYTVA_27571	SCHMD03613
OG0000265	LYTVA_27571	BRALA18329
OG0000278	LYTVA_17374	CAPO305864
OG0000278	LYTVA_17374	SCHMD00822, SCHMD09237, SCHMD03776
OG0000278	LYTVA_17374	ORYLA17596
OG0000278	LYTVA_17374	DANRE33682
OG0000309	LYTVA_17019, LYTVA_16555	HUMAN02856
OG0000309	LYTVA_16555	MOUSE11293
OG0000326	LYTVA_18602	BRALA08568
OG0000329	LYTVA_04971	HUMAN12535
OG0000372	LYTVA_09258, LYTVA_10583	APOSC_25245
OG0000374	LYTVA_22056	DANRE35506
OG0000374	LYTVA_17909	OFUSG15949.1.p1
OG0000397	LYTVA_01829	DANRE04701, DANRE19132, DANRE04702, DANRE19141, DANRE19136, DANRE19121, DANRE19122, DANRE04703, DANRE04741, DANRE19133, DANRE19130, DANRE19129, DANRE19134, DANRE04720
OG0000399	LYTVA_10216	DANRE09642
OG0000399	LYTVA_10216	MOUSE30468
OG0000403	LYTVA_17322, LYTVA_05699	XENTR17855
OG0000405	LYTVA_02873	MOUSE10160
OG0000436	LYTVA_21248	MOUSE23254
OG0000450	LYTVA_17101	MOUSE46534
OG0000453	LYTVA_08205	BRALA02456
