Orthogroup	ASTMX	DANRE
OG0000000	ASTMX22979	DANRE01559
OG0000000	ASTMX02793	DANRE05762
OG0000000	ASTMX22512	DANRE00109
OG0000000	ASTMX17483	DANRE24636
OG0000000	ASTMX11444	DANRE35926
OG0000000	ASTMX18513	DANRE04899
OG0000000	ASTMX02535	DANRE05022
OG0000000	ASTMX04736	DANRE06714
OG0000000	ASTMX19308	DANRE37544
OG0000000	ASTMX03273	DANRE11226
OG0000000	ASTMX22570	DANRE04898
OG0000000	ASTMX10474, ASTMX18080	DANRE16356
OG0000000	ASTMX13971	DANRE11234
OG0000000	ASTMX13970	DANRE11232
OG0000000	ASTMX12494	DANRE40795
OG0000000	ASTMX05790	DANRE05964
OG0000000	ASTMX17479	DANRE19591, DANRE19592
OG0000000	ASTMX20577	DANRE34117
OG0000000	ASTMX08977	DANRE19532
OG0000000	ASTMX08271	DANRE36202
OG0000000	ASTMX14561	DANRE02487
OG0000000	ASTMX07042	DANRE13405
OG0000000	ASTMX10847	DANRE00977
OG0000000	ASTMX20299	DANRE04328, DANRE04330, DANRE04329
OG0000000	ASTMX10234	DANRE18867, DANRE18868
OG0000000	ASTMX20113	DANRE23434
OG0000000	ASTMX01439	DANRE03839
OG0000000	ASTMX16054	DANRE29251
OG0000000	ASTMX20165	DANRE14339, DANRE14340
OG0000000	ASTMX16946	DANRE35277, DANRE35276
OG0000000	ASTMX11106	DANRE17824
OG0000000	ASTMX16053	DANRE29250
OG0000000	ASTMX01903	DANRE09540
OG0000000	ASTMX06178	DANRE24278
OG0000000	ASTMX16048	DANRE29240
OG0000000	ASTMX20108	DANRE23428
OG0000000	ASTMX16049	DANRE29241
OG0000000	ASTMX01436	DANRE03837
OG0000000	ASTMX16050	DANRE29246
OG0000000	ASTMX20109	DANRE23430, DANRE23429
OG0000000	ASTMX05322	DANRE01703
OG0000000	ASTMX20111	DANRE23433
OG0000000	ASTMX16051	DANRE29249
OG0000000	ASTMX12038	DANRE41434
OG0000000	ASTMX20162	DANRE14335
OG0000000	ASTMX01437	DANRE29247, DANRE03838
OG0000000	ASTMX20161	DANRE14338
OG0000000	ASTMX20110	DANRE23432, DANRE23431
OG0000000	ASTMX17422	DANRE38770
OG0000000	ASTMX12684, ASTMX17005	DANRE41587, DANRE15352, DANRE15353
OG0000000	ASTMX01447	DANRE03853, DANRE03854
OG0000000	ASTMX00835	DANRE14679
OG0000000	ASTMX16253	DANRE08590
OG0000000	ASTMX20873	DANRE06002
OG0000000	ASTMX04077	DANRE20421
OG0000000	ASTMX07972	DANRE06649
OG0000000	ASTMX05835	DANRE05182
OG0000000	ASTMX11919	DANRE16636
OG0000000	ASTMX08519	DANRE11732
OG0000000	ASTMX09510	DANRE11786, DANRE11785
OG0000000	ASTMX01253	DANRE18799
OG0000000	ASTMX05324, ASTMX20107	DANRE23427
OG0000000	ASTMX12036	DANRE41435
OG0000000	ASTMX16047	DANRE29239, DANRE29238
OG0000000	ASTMX01904	DANRE09539
OG0000000	ASTMX01905	DANRE09538
OG0000000	ASTMX20159	DANRE29237
OG0000000	ASTMX08795	DANRE06945, DANRE06944
OG0000000	ASTMX17999	DANRE20512
OG0000000	ASTMX16045	DANRE29235, DANRE29234
OG0000000	ASTMX20156	DANRE14325, DANRE14326
OG0000000	ASTMX12031	DANRE41441
OG0000000	ASTMX17267	DANRE41165
OG0000000	ASTMX11612	DANRE05977
OG0000000	ASTMX02802	DANRE05743
OG0000000	ASTMX17266	DANRE41166
OG0000000	ASTMX02801	DANRE05745, DANRE05744
OG0000000	ASTMX07975	DANRE06657
OG0000000	ASTMX09511	DANRE11796, DANRE11795
OG0000001	ASTMX15290, ASTMX15291, ASTMX13895, ASTMX18565, ASTMX22524, ASTMX22234, ASTMX22345, ASTMX22092, ASTMX21890, ASTMX21891, ASTMX22091, ASTMX22847	DANRE00718, DANRE00765, DANRE00766, DANRE00769, DANRE00768, DANRE00812, DANRE00809, DANRE00810, DANRE00811, DANRE03280, DANRE00762, DANRE00763, DANRE00764, DANRE00767
OG0000001	ASTMX09144	DANRE09569
OG0000001	ASTMX18984, ASTMX22258, ASTMX21790, ASTMX18492	DANRE13671, DANRE13664, DANRE13665
OG0000001	ASTMX00884	DANRE13666, DANRE13667, DANRE13668, DANRE13663
OG0000001	ASTMX14749, ASTMX14750	DANRE13812
OG0000001	ASTMX19574, ASTMX19576, ASTMX19575, ASTMX10473	DANRE15519, DANRE42408, DANRE42394, DANRE42395, DANRE42396, DANRE18938, DANRE18937, DANRE18939, DANRE18936, DANRE18935, DANRE42412, DANRE42411, DANRE42410, DANRE42409, DANRE42413, DANRE42407, DANRE42405, DANRE42406
OG0000001	ASTMX07323	DANRE29550
OG0000002	ASTMX13878	DANRE16673
OG0000002	ASTMX20124	DANRE07411, DANRE07410
OG0000002	ASTMX15953, ASTMX15955, ASTMX15957, ASTMX15958, ASTMX15959, ASTMX15956, ASTMX22714, ASTMX20120	DANRE23587, DANRE23585, DANRE23586, DANRE23582, DANRE23583, DANRE23578, DANRE23577, DANRE23584, DANRE23576, DANRE23575, DANRE23581, DANRE23580, DANRE23579, DANRE23573
OG0000002	ASTMX19248	DANRE38244, DANRE38242, DANRE38243
OG0000002	ASTMX14857, ASTMX14858	DANRE28829, DANRE28823, DANRE28819, DANRE28822, DANRE28825, DANRE28824, DANRE28826
OG0000002	ASTMX14859	DANRE28828, DANRE28827
OG0000002	ASTMX12466	DANRE17907, DANRE17906, DANRE17905
OG0000002	ASTMX12460	DANRE17904
OG0000002	ASTMX12465, ASTMX12461, ASTMX12462, ASTMX12463	DANRE17908
OG0000002	ASTMX18376, ASTMX15952	DANRE23589, DANRE23588
OG0000002	ASTMX12459	DANRE17903
OG0000002	ASTMX12467, ASTMX12468	DANRE17912, DANRE17913, DANRE17914, DANRE17918, DANRE17917, DANRE17916, DANRE17915, DANRE17919
OG0000002	ASTMX20125	DANRE28739
OG0000004	ASTMX09901	DANRE17331
OG0000004	ASTMX21576	DANRE30388, DANRE30387, DANRE30389, DANRE30390
OG0000004	ASTMX19416	DANRE02933
OG0000004	ASTMX13906	DANRE10231
OG0000004	ASTMX13606	DANRE41389, DANRE41390
OG0000004	ASTMX22075	DANRE15804, DANRE15805
OG0000004	ASTMX12117	DANRE05052, DANRE05051
OG0000004	ASTMX01551	DANRE04104, DANRE04103
OG0000004	ASTMX20045	DANRE31032, DANRE31033, DANRE31034, DANRE31044, DANRE31041, DANRE31047, DANRE31039, DANRE31031, DANRE31048, DANRE31046, DANRE31043
OG0000004	ASTMX20996, ASTMX20716	DANRE31042
OG0000004	ASTMX20994, ASTMX20995, ASTMX07153, ASTMX20993, ASTMX22082, ASTMX20044	DANRE30830, DANRE30828, DANRE30829, DANRE31045
OG0000004	ASTMX09630	DANRE33319
OG0000004	ASTMX17273	DANRE29697
OG0000005	ASTMX16020	DANRE20576
OG0000005	ASTMX16021	DANRE20586
OG0000005	ASTMX14148	DANRE11253, DANRE11252, DANRE11254
OG0000005	ASTMX14149	DANRE11251, DANRE11250
OG0000005	ASTMX13051	DANRE20012, DANRE20011, DANRE20010
OG0000005	ASTMX18005	DANRE20517, DANRE20518
OG0000005	ASTMX12914	DANRE17265
OG0000005	ASTMX04261	DANRE14948
OG0000005	ASTMX08691	DANRE24204
OG0000005	ASTMX01192	DANRE18558
OG0000005	ASTMX08164	DANRE10777
OG0000005	ASTMX10242	DANRE18161
OG0000005	ASTMX03244	DANRE11160
OG0000006	ASTMX00775	DANRE02891
OG0000006	ASTMX03985	DANRE40167
OG0000006	ASTMX00495	DANRE35529
OG0000006	ASTMX16379	DANRE26614, DANRE26613
OG0000006	ASTMX16363	DANRE06496, DANRE06495
OG0000006	ASTMX04345	DANRE08940
OG0000006	ASTMX11700	DANRE07561, DANRE07562
OG0000006	ASTMX00138	DANRE42479, DANRE42480
OG0000006	ASTMX03123	DANRE18291, DANRE26970, DANRE26971
OG0000006	ASTMX12191	DANRE20396
OG0000006	ASTMX07931	DANRE24336
OG0000006	ASTMX15917	DANRE40393
OG0000006	ASTMX06292	DANRE12604
OG0000006	ASTMX15319	DANRE38227, DANRE13192, DANRE13191
OG0000006	ASTMX03256	DANRE11213, DANRE11212
OG0000006	ASTMX09680	DANRE11601
OG0000006	ASTMX14682	DANRE30064
OG0000006	ASTMX19702	DANRE15483
OG0000006	ASTMX21126	DANRE19266, DANRE19265
OG0000006	ASTMX03352	DANRE34833, DANRE34834
OG0000006	ASTMX06644	DANRE05395
OG0000006	ASTMX04941	DANRE20981
OG0000006	ASTMX20531	DANRE28318
OG0000006	ASTMX03398	DANRE19321
OG0000006	ASTMX04477, ASTMX07342	DANRE29642, DANRE29641
OG0000006	ASTMX03759	DANRE07087, DANRE07088
OG0000006	ASTMX02775	DANRE04631, DANRE04632
OG0000006	ASTMX15412	DANRE20580
OG0000006	ASTMX14827	DANRE11156
OG0000006	ASTMX12518	DANRE34403
OG0000006	ASTMX16515	DANRE08961
OG0000006	ASTMX08479, ASTMX15103	DANRE11849, DANRE11850
OG0000006	ASTMX11575	DANRE16704
OG0000006	ASTMX03265	DANRE11329
OG0000006	ASTMX10604	DANRE04654, DANRE04655
OG0000006	ASTMX08947	DANRE18618
OG0000006	ASTMX16006	DANRE35252
OG0000007	ASTMX14980	DANRE26275
OG0000007	ASTMX05134	DANRE38320, DANRE26009
OG0000007	ASTMX12498	DANRE40798, DANRE40799
OG0000007	ASTMX08829	DANRE07019, DANRE07017, DANRE07018
OG0000007	ASTMX06316	DANRE13390
OG0000007	ASTMX09513	DANRE11787, DANRE11788
OG0000007	ASTMX08102	DANRE10909, DANRE10908
OG0000007	ASTMX21418	DANRE40583
OG0000007	ASTMX05483	DANRE36378
OG0000007	ASTMX17351	DANRE29354
OG0000007	ASTMX12390	DANRE34325
OG0000007	ASTMX04000	DANRE40143
OG0000007	ASTMX22657	DANRE16014, DANRE16015
OG0000007	ASTMX22264	DANRE07035
OG0000007	ASTMX09321	DANRE20085
OG0000007	ASTMX14799	DANRE04871
OG0000007	ASTMX12582	DANRE04210
OG0000007	ASTMX21073	DANRE28394
OG0000007	ASTMX16179	DANRE07751, DANRE07750
OG0000007	ASTMX07688	DANRE03566
OG0000007	ASTMX20070	DANRE03447
OG0000007	ASTMX22376	DANRE26278, DANRE26279
OG0000007	ASTMX11119	DANRE17980, DANRE17979
