Orthogroup	SCHMD	CAEEL
OG0000000	SCHMD20461, SCHMD14540, SCHMD00971	CAEEL18735
OG0000000	SCHMD20523, SCHMD24588	CAEEL18754
OG0000000	SCHMD03805	CAEEL06523
OG0000000	SCHMD20256, SCHMD22099	CAEEL00081
OG0000000	SCHMD09133, SCHMD27825	CAEEL18467, CAEEL18466
OG0000000	SCHMD27182, SCHMD16896	CAEEL04771
OG0000000	SCHMD28523	CAEEL10851
OG0000000	SCHMD18969	CAEEL08092
OG0000000	SCHMD08046, SCHMD15558, SCHMD22390, SCHMD21735	CAEEL08135, CAEEL08091
OG0000000	SCHMD21303	CAEEL00979
OG0000000	SCHMD01868	CAEEL19601
OG0000000	SCHMD11888, SCHMD08259	CAEEL08137, CAEEL17599
OG0000000	SCHMD24693	CAEEL08875
OG0000000	SCHMD04779	CAEEL20161, CAEEL15696
OG0000000	SCHMD15082	CAEEL15438
OG0000000	SCHMD13268	CAEEL16213
OG0000001	SCHMD23406, SCHMD16416, SCHMD29191, SCHMD06012, SCHMD21903, SCHMD22399, SCHMD17317, SCHMD22397, SCHMD07964, SCHMD00532, SCHMD00529, SCHMD00530, SCHMD00533, SCHMD06482, SCHMD28258, SCHMD18274, SCHMD22533, SCHMD13793, SCHMD24709, SCHMD23603	CAEEL00597, CAEEL06285
OG0000001	SCHMD02916	CAEEL10382
OG0000003	SCHMD26463, SCHMD28579, SCHMD15478, SCHMD23092	CAEEL20577
OG0000003	SCHMD18315	CAEEL19939
OG0000005	SCHMD06848, SCHMD09862, SCHMD04325	CAEEL13168
OG0000005	SCHMD02886, SCHMD16397, SCHMD12141, SCHMD01757	CAEEL20591, CAEEL05556, CAEEL19115
OG0000005	SCHMD15919	CAEEL17405, CAEEL08039, CAEEL04792
OG0000006	SCHMD00178	CAEEL00696
OG0000006	SCHMD09638	CAEEL19824, CAEEL07700, CAEEL05532
OG0000006	SCHMD20660, SCHMD20659, SCHMD16131, SCHMD21341	CAEEL01533
OG0000006	SCHMD13710	CAEEL12101
OG0000006	SCHMD09559, SCHMD01539	CAEEL20362
OG0000006	SCHMD18814	CAEEL15182
OG0000007	SCHMD08294	CAEEL17965
OG0000007	SCHMD14635, SCHMD17075	CAEEL05829
OG0000007	SCHMD12296, SCHMD02893	CAEEL01108
OG0000007	SCHMD08423	CAEEL01984
OG0000007	SCHMD08922, SCHMD00556, SCHMD22068, SCHMD08894, SCHMD06998	CAEEL10238, CAEEL04602
OG0000007	SCHMD02246	CAEEL18586
OG0000010	SCHMD02594, SCHMD02592	CAEEL10902
OG0000011	SCHMD25643	CAEEL08004
OG0000012	SCHMD06044, SCHMD24599, SCHMD26528, SCHMD04657, SCHMD00960	CAEEL06401, CAEEL06400, CAEEL00461, CAEEL20690
OG0000014	SCHMD22676, SCHMD26730	CAEEL20221
