Orthogroup	CAEEL	CAPO3
OG0000003	CAEEL08453, CAEEL08460, CAEEL18127, CAEEL14751, CAEEL20577, CAEEL19939	CAPO301945
OG0000005	CAEEL05785, CAEEL06862, CAEEL01924, CAEEL13168, CAEEL20591, CAEEL05556, CAEEL19115, CAEEL04505, CAEEL19864, CAEEL17405, CAEEL08039, CAEEL04792	CAPO308356, CAPO307946
OG0000006	CAEEL15182	CAPO302620
OG0000007	CAEEL10238, CAEEL04602	CAPO304209
OG0000007	CAEEL18586	CAPO305123
OG0000012	CAEEL06401, CAEEL06400, CAEEL00461, CAEEL20690, CAEEL20293, CAEEL14039, CAEEL14036, CAEEL14035, CAEEL14043, CAEEL14262, CAEEL14332, CAEEL14331, CAEEL14330, CAEEL14630, CAEEL00027, CAEEL07052, CAEEL18698, CAEEL13039, CAEEL14777, CAEEL19132, CAEEL18995	CAPO302923, CAPO302931
OG0000015	CAEEL03927, CAEEL15698, CAEEL11496, CAEEL06943, CAEEL19709, CAEEL14461, CAEEL18374, CAEEL05716, CAEEL18949, CAEEL07962, CAEEL08800, CAEEL08801, CAEEL08799, CAEEL20727, CAEEL14381, CAEEL17815, CAEEL12449, CAEEL00283, CAEEL04309, CAEEL09145, CAEEL09146, CAEEL15587, CAEEL16962, CAEEL16137, CAEEL14081, CAEEL01009, CAEEL01008, CAEEL00762, CAEEL04855	CAPO302521
OG0000016	CAEEL20493	CAPO300049
OG0000016	CAEEL19614, CAEEL20639, CAEEL17751, CAEEL09082, CAEEL18079, CAEEL18078	CAPO304360
OG0000016	CAEEL18647	CAPO306803
OG0000023	CAEEL17950, CAEEL16517, CAEEL15627, CAEEL08035, CAEEL13426, CAEEL20104, CAEEL06641, CAEEL07042, CAEEL07738	CAPO307690
OG0000029	CAEEL09623, CAEEL15333, CAEEL20320, CAEEL11851, CAEEL20612	CAPO307131
OG0000030	CAEEL20774, CAEEL00681, CAEEL00682, CAEEL00680, CAEEL03646, CAEEL03801, CAEEL04353, CAEEL12022, CAEEL10844, CAEEL09837, CAEEL06465, CAEEL19862, CAEEL12505, CAEEL15855, CAEEL16494, CAEEL16974, CAEEL00280, CAEEL15338, CAEEL14827, CAEEL17980, CAEEL05619, CAEEL05420, CAEEL05421, CAEEL05419, CAEEL05617, CAEEL03830	CAPO305356, CAPO301638, CAPO307563
OG0000035	CAEEL18183	CAPO302784
OG0000035	CAEEL01943, CAEEL20458, CAEEL18575, CAEEL18576, CAEEL19501, CAEEL17643, CAEEL04743, CAEEL01696, CAEEL19995, CAEEL19624	CAPO307346, CAPO308354
OG0000038	CAEEL05761, CAEEL02595, CAEEL01907, CAEEL08943	CAPO307725
OG0000041	CAEEL16024, CAEEL05122, CAEEL05121, CAEEL19747, CAEEL05494, CAEEL14233, CAEEL09462, CAEEL19248, CAEEL08892, CAEEL08891, CAEEL15070, CAEEL15427	CAPO308025, CAPO306861
