Orthogroup	PFLAV	STRPU_ok
OG0000000	TCONS_00026365.p1	STRPU_10146, STRPU_10084
OG0000000	TCONS_00019737.p1	STRPU_22262
OG0000000	TCONS_00027826.p1	STRPU_10304
OG0000000	TCONS_00026612.p1	STRPU_10083, STRPU_10145
OG0000000	TCONS_00026711.p1	STRPU_10015
OG0000000	TCONS_00026377.p1	STRPU_10016
OG0000000	TCONS_00014809.p1, TCONS_00014810.p1	STRPU_19865, STRPU_19892
OG0000000	TCONS_00018852.p1	STRPU_02929
OG0000000	TCONS_00015367.p1	STRPU_19906
OG0000000	TCONS_00017786.p1	STRPU_03800
OG0000000	TCONS_00020801.p1	STRPU_23673, STRPU_23648
OG0000000	TCONS_00026487.p1	STRPU_09982, STRPU_09961
OG0000000	TCONS_00010493.p1	STRPU_20780
OG0000000	TCONS_00020105.p1	STRPU_23557
OG0000000	TCONS_00032259.p1	STRPU_23206
OG0000000	TCONS_00043772.p1	STRPU_05654
OG0000000	TCONS_00043771.p1	STRPU_05390
OG0000000	TCONS_00032269.p1	STRPU_23197, STRPU_23198
OG0000000	TCONS_00032267.p1	STRPU_23196
OG0000000	TCONS_00032264.p1	STRPU_23194
OG0000000	TCONS_00019139.p1	STRPU_23756
OG0000000	TCONS_00018960.p1, TCONS_00018945.p1	STRPU_22253
OG0000000	TCONS_00027510.p1	STRPU_09852
OG0000000	TCONS_00032270.p1	STRPU_23199
OG0000000	TCONS_00032272.p1	STRPU_23200
OG0000000	TCONS_00031628.p1, TCONS_00031626.p1	STRPU_25072
OG0000000	TCONS_00042478.p1	STRPU_05830
OG0000000	TCONS_00031629.p1	STRPU_23207
OG0000000	TCONS_00026601.p1	STRPU_10189
OG0000000	TCONS_00026600.p1	STRPU_09890
OG0000000	TCONS_00009627.p1	STRPU_21017
OG0000000	TCONS_00009628.p1	STRPU_21014
OG0000001	TCONS_00027439.p1	STRPU_00074
OG0000001	TCONS_00034555.p1, TCONS_00007091.p1	STRPU_01290, STRPU_18232, STRPU_01177, STRPU_19476, STRPU_18414
OG0000001	TCONS_00001512.p1, TCONS_00001513.p1, TCONS_00001514.p1, TCONS_00001510.p2	STRPU_02027, STRPU_07060, STRPU_08023, STRPU_02028, STRPU_08024, STRPU_02029, STRPU_16260, STRPU_16256, STRPU_16259, STRPU_16275, STRPU_16315, STRPU_16295, STRPU_16296, STRPU_16218, STRPU_16250, STRPU_16276, STRPU_16261, STRPU_16277, STRPU_16262
OG0000001	TCONS_00051578.p1, TCONS_00050528.p1, TCONS_00050529.p1, TCONS_00051579.p1, TCONS_00050527.p1, TCONS_00051590.p1, TCONS_00050520.p1, TCONS_00051592.p2, TCONS_00050519.p1, TCONS_00050521.p1, TCONS_00051589.p1, TCONS_00050525.p1, TCONS_00051582.p1, TCONS_00051581.p1, TCONS_00050526.p1, TCONS_00051580.p1	STRPU_07468, STRPU_07469, STRPU_07465, STRPU_07471, STRPU_07897, STRPU_07925, STRPU_07896, STRPU_07924, STRPU_07461, STRPU_07462, STRPU_07464, STRPU_07466, STRPU_07467, STRPU_07463, STRPU_07470, STRPU_14233, STRPU_14227, STRPU_19145, STRPU_04228, STRPU_09860, STRPU_06022, STRPU_06407, STRPU_06414, STRPU_06404, STRPU_06405, STRPU_24972, STRPU_10538, STRPU_10540, STRPU_10542, STRPU_07738, STRPU_12930, STRPU_07737, STRPU_07352, STRPU_11067, STRPU_12910, STRPU_12667, STRPU_13102
OG0000002	TCONS_00010137.p1	STRPU_21867
OG0000002	TCONS_00028990.p1, TCONS_00028992.p1	STRPU_25851, STRPU_22729
OG0000002	TCONS_00017417.p1, TCONS_00017418.p1, TCONS_00053860.p1, TCONS_00053848.p1, TCONS_00018470.p1, TCONS_00001082.p1	STRPU_07176, STRPU_07177, STRPU_18026, STRPU_03083
OG0000002	TCONS_00003695.p1, TCONS_00003696.p1, TCONS_00003697.p1	STRPU_22053, STRPU_10449, STRPU_10451, STRPU_10453, STRPU_11801, STRPU_04204, STRPU_04244, STRPU_03069, STRPU_04415, STRPU_16798, STRPU_15494, STRPU_16800, STRPU_16796, STRPU_04913, STRPU_04447
OG0000002	TCONS_00000388.p1, TCONS_00000392.p1, TCONS_00000390.p1, TCONS_00000387.p1, TCONS_00000394.p1, TCONS_00000393.p1, TCONS_00000389.p1	STRPU_25048, STRPU_20582, STRPU_20566
OG0000002	TCONS_00048938.p1	STRPU_00361
OG0000003	TCONS_00043593.p1	STRPU_08968, STRPU_08981
OG0000003	TCONS_00012459.p1	STRPU_06609
OG0000003	TCONS_00043525.p1	STRPU_17011
OG0000003	TCONS_00031472.p1	STRPU_02120
OG0000003	TCONS_00018253.p1	STRPU_00064, STRPU_13505
OG0000003	TCONS_00045158.p1	STRPU_18662
OG0000003	TCONS_00057090.p1	STRPU_17010
OG0000003	TCONS_00013356.p1	STRPU_06867, STRPU_06866
OG0000004	TCONS_00045168.p1, TCONS_00046035.p1	STRPU_07696, STRPU_07682
OG0000004	TCONS_00030290.p1	STRPU_04563
OG0000004	TCONS_00028773.p1	STRPU_26969
OG0000004	TCONS_00051408.p1, TCONS_00051404.p1, TCONS_00050286.p1, TCONS_00040010.p1, TCONS_00039986.p1, TCONS_00039985.p1, TCONS_00040009.p1, TCONS_00040789.p1	STRPU_18793, STRPU_18804, STRPU_18942, STRPU_18792, STRPU_18791, STRPU_25306
OG0000004	TCONS_00039987.p1	STRPU_19329
OG0000004	TCONS_00020025.p1, TCONS_00020017.p1, TCONS_00001702.p1, TCONS_00000548.p1, TCONS_00001700.p1, TCONS_00000558.p1	STRPU_05439, STRPU_05438, STRPU_14686, STRPU_14682, STRPU_11682, STRPU_08661, STRPU_11826, STRPU_11842, STRPU_19610
OG0000005	TCONS_00020907.p1	STRPU_18110, STRPU_02307, STRPU_02309
OG0000005	TCONS_00033021.p1	STRPU_17631, STRPU_02287
