TCONS_00055676	STRPU_00028
TCONS_00025111	STRPU_00031
TCONS_00050077	STRPU_00053
TCONS_00013647	STRPU_00064
TCONS_00018155	STRPU_00085
TCONS_00049861	STRPU_00092
TCONS_00036356	STRPU_00095
TCONS_00038621	STRPU_00109
TCONS_00018453	STRPU_00125
TCONS_00005950	STRPU_00134
TCONS_00000950	STRPU_00136
TCONS_00028299	STRPU_00137
TCONS_00017019	STRPU_00139
TCONS_00018814	STRPU_00161
TCONS_00046288	STRPU_00170
TCONS_00021657	STRPU_00174
TCONS_00026441	STRPU_00188
TCONS_00049059	STRPU_00196
TCONS_00011108	STRPU_00198
TCONS_00014803	STRPU_00199
TCONS_00022668	STRPU_00239
TCONS_00011602	STRPU_00280
TCONS_00011184	STRPU_00286
TCONS_00014399	STRPU_00318
TCONS_00044274	STRPU_00333
TCONS_00053308	STRPU_00397
TCONS_00002088	STRPU_00408
TCONS_00049736	STRPU_00490
TCONS_00004759	STRPU_00533
TCONS_00015425	STRPU_00544
TCONS_00005667	STRPU_00572
TCONS_00003886	STRPU_00599
TCONS_00013479	STRPU_00626
TCONS_00012333	STRPU_00627
TCONS_00023646	STRPU_00638
TCONS_00047886	STRPU_00668
TCONS_00048621	STRPU_00690
TCONS_00005836	STRPU_00701
TCONS_00006131	STRPU_00764
TCONS_00016056	STRPU_00793
TCONS_00020384	STRPU_00822
TCONS_00020216	STRPU_00912
TCONS_00012231	STRPU_00925
TCONS_00013718	STRPU_00928
TCONS_00014248	STRPU_00946
TCONS_00019050	STRPU_01032
TCONS_00018385	STRPU_01096
TCONS_00053779	STRPU_01133
TCONS_00054342	STRPU_01160
TCONS_00053686	STRPU_01167
TCONS_00053211	STRPU_01173
TCONS_00015366	STRPU_01211
TCONS_00034695	STRPU_01212
TCONS_00042854	STRPU_01217
TCONS_00036150	STRPU_01241
TCONS_00052796	STRPU_01288
TCONS_00037103	STRPU_01315
TCONS_00037411	STRPU_01335
TCONS_00049947	STRPU_01337
TCONS_00028977	STRPU_01343
TCONS_00021781	STRPU_01345
TCONS_00053066	STRPU_01364
TCONS_00047589	STRPU_01431
TCONS_00050594	STRPU_01454
TCONS_00012933	STRPU_01478
TCONS_00057264	STRPU_01504
TCONS_00026578	STRPU_01545
TCONS_00056862	STRPU_01551
TCONS_00026656	STRPU_01570
TCONS_00055592	STRPU_01586
TCONS_00025559	STRPU_01635
TCONS_00036764	STRPU_01647
TCONS_00037416	STRPU_01651
TCONS_00038608	STRPU_01655
TCONS_00029800	STRPU_01690
TCONS_00016795	STRPU_01691
TCONS_00019316	STRPU_01703
TCONS_00010612	STRPU_01732
TCONS_00050387	STRPU_01737
TCONS_00000976	STRPU_01778
TCONS_00000128	STRPU_01806
TCONS_00001275	STRPU_01807
TCONS_00000173	STRPU_01814
TCONS_00054330	STRPU_01836
TCONS_00037591	STRPU_01838
TCONS_00049754	STRPU_01910
TCONS_00020268	STRPU_01967
TCONS_00047129	STRPU_01973
TCONS_00047849	STRPU_01977
TCONS_00049702	STRPU_01981
TCONS_00041149	STRPU_01996
TCONS_00045154	STRPU_02030
TCONS_00017646	STRPU_02089
TCONS_00054910	STRPU_02112
TCONS_00006308	STRPU_02214
TCONS_00001855	STRPU_02282
TCONS_00028033	STRPU_02308
TCONS_00020084	STRPU_02316
TCONS_00018813	STRPU_02319
TCONS_00019593	STRPU_02390
TCONS_00001897	STRPU_02392
TCONS_00004033	STRPU_02394
TCONS_00056708	STRPU_02429
TCONS_00054732	STRPU_02432
TCONS_00055671	STRPU_02447
TCONS_00006805	STRPU_02496
TCONS_00034607	STRPU_02511
TCONS_00005218	STRPU_02562
TCONS_00014879	STRPU_02582
TCONS_00033000	STRPU_02605
TCONS_00036336	STRPU_02606
TCONS_00041281	STRPU_02618
TCONS_00051412	STRPU_02654
TCONS_00004185	STRPU_02658
TCONS_00025772	STRPU_02663
TCONS_00017779	STRPU_02684
TCONS_00002606	STRPU_02697
TCONS_00034156	STRPU_02698
TCONS_00039793	STRPU_02712
TCONS_00018239	STRPU_02718
TCONS_00016074	STRPU_02730
TCONS_00033906	STRPU_02731
TCONS_00031321	STRPU_02747
TCONS_00047237	STRPU_02770
TCONS_00034949	STRPU_02772
TCONS_00056925	STRPU_02774
TCONS_00039483	STRPU_02778
TCONS_00004832	STRPU_02782
TCONS_00038340	STRPU_02790
TCONS_00038273	STRPU_02794
TCONS_00040905	STRPU_02801
TCONS_00034163	STRPU_02810
TCONS_00039211	STRPU_02815
TCONS_00001421	STRPU_02817
TCONS_00039258	STRPU_02821
TCONS_00033778	STRPU_02838
TCONS_00034468	STRPU_02864
TCONS_00033684	STRPU_02865
TCONS_00033863	STRPU_02879
TCONS_00039975	STRPU_02899
TCONS_00040904	STRPU_02902
TCONS_00039977	STRPU_02904
TCONS_00040416	STRPU_02905
TCONS_00039409	STRPU_02906
TCONS_00040402	STRPU_02907
TCONS_00017784	STRPU_02910
TCONS_00017776	STRPU_02913
TCONS_00039209	STRPU_02916
TCONS_00018827	STRPU_02919
TCONS_00035178	STRPU_02920
TCONS_00023990	STRPU_02921
TCONS_00035428	STRPU_02922
TCONS_00033798	STRPU_02923
TCONS_00034490	STRPU_02926
TCONS_00018826	STRPU_02946
TCONS_00018831	STRPU_02971
TCONS_00039493	STRPU_02978
TCONS_00017767	STRPU_02991
TCONS_00013841	STRPU_02993
TCONS_00035716	STRPU_02997
TCONS_00041057	STRPU_02998
TCONS_00039546	STRPU_03005
TCONS_00037551	STRPU_03006
TCONS_00034020	STRPU_03026
TCONS_00053717	STRPU_03038
TCONS_00007445	STRPU_03043
TCONS_00037839	STRPU_03060
TCONS_00035289	STRPU_03074
TCONS_00040865	STRPU_03075
TCONS_00033994	STRPU_03077
TCONS_00025195	STRPU_03079
TCONS_00035269	STRPU_03091
TCONS_00030426	STRPU_03092
TCONS_00034310	STRPU_03094
TCONS_00023709	STRPU_03098
TCONS_00023706	STRPU_03099
TCONS_00040482	STRPU_03140
TCONS_00040754	STRPU_03141
TCONS_00034837	STRPU_03142
TCONS_00053598	STRPU_03161
TCONS_00031528	STRPU_03197
TCONS_00030096	STRPU_03198
TCONS_00034798	STRPU_03200
TCONS_00034975	STRPU_03201
TCONS_00034976	STRPU_03202
TCONS_00040101	STRPU_03304
TCONS_00040470	STRPU_03307
TCONS_00034974	STRPU_03308
TCONS_00034979	STRPU_03309
TCONS_00038525	STRPU_03323
TCONS_00015756	STRPU_03330
TCONS_00034989	STRPU_03333
TCONS_00030445	STRPU_03335
TCONS_00039795	STRPU_03339
TCONS_00000480	STRPU_03346
TCONS_00044269	STRPU_03347
TCONS_00035697	STRPU_03360
TCONS_00035544	STRPU_03361
TCONS_00041054	STRPU_03363
TCONS_00034704	STRPU_03381
TCONS_00035039	STRPU_03424
TCONS_00039555	STRPU_03428
TCONS_00040868	STRPU_03432
TCONS_00034794	STRPU_03440
TCONS_00041077	STRPU_03448
TCONS_00034484	STRPU_03449
TCONS_00034795	STRPU_03450
TCONS_00054729	STRPU_03453
TCONS_00039338	STRPU_03467
TCONS_00040341	STRPU_03468
TCONS_00014854	STRPU_03478
TCONS_00034269	STRPU_03489
TCONS_00035722	STRPU_03523
TCONS_00002672	STRPU_03539
TCONS_00035619	STRPU_03587
TCONS_00050395	STRPU_03589
TCONS_00040418	STRPU_03622
TCONS_00041072	STRPU_03631
TCONS_00040128	STRPU_03632
TCONS_00002336	STRPU_03647
TCONS_00033865	STRPU_03686
TCONS_00033875	STRPU_03691
TCONS_00040400	STRPU_03693
TCONS_00039468	STRPU_03694
TCONS_00035669	STRPU_03695
TCONS_00014132	STRPU_03701
TCONS_00018825	STRPU_03703
TCONS_00034142	STRPU_03708
TCONS_00035290	STRPU_03710
TCONS_00045943	STRPU_03717
TCONS_00039421	STRPU_03728
TCONS_00035284	STRPU_03729
TCONS_00040519	STRPU_03730
TCONS_00039538	STRPU_03731
TCONS_00045511	STRPU_03737
TCONS_00034797	STRPU_03742
TCONS_00034025	STRPU_03770
TCONS_00041833	STRPU_03775
TCONS_00034955	STRPU_03804
TCONS_00032923	STRPU_03814
TCONS_00045884	STRPU_03815
TCONS_00035276	STRPU_03839
TCONS_00035427	STRPU_03853
TCONS_00034986	STRPU_03861
TCONS_00035236	STRPU_03872
TCONS_00035498	STRPU_03873
TCONS_00050906	STRPU_03878
TCONS_00045347	STRPU_03882
TCONS_00023690	STRPU_03898
TCONS_00034967	STRPU_03925
TCONS_00039489	STRPU_03929
TCONS_00040714	STRPU_03969
TCONS_00035271	STRPU_03986
TCONS_00005270	STRPU_03996
TCONS_00038589	STRPU_04013
TCONS_00036716	STRPU_04019
TCONS_00034587	STRPU_04020
TCONS_00042409	STRPU_04023
TCONS_00031090	STRPU_04035
TCONS_00031456	STRPU_04036
TCONS_00030912	STRPU_04037
TCONS_00030287	STRPU_04040
TCONS_00031463	STRPU_04042
TCONS_00030082	STRPU_04046
TCONS_00025855	STRPU_04047
TCONS_00030847	STRPU_04051
TCONS_00030374	STRPU_04052
TCONS_00036231	STRPU_04058
TCONS_00030821	STRPU_04062
TCONS_00029930	STRPU_04070
TCONS_00013471	STRPU_04071
TCONS_00031264	STRPU_04090
TCONS_00021690	STRPU_04091
TCONS_00031091	STRPU_04093
TCONS_00031224	STRPU_04095
TCONS_00030810	STRPU_04103
TCONS_00030028	STRPU_04104
TCONS_00029922	STRPU_04111
TCONS_00025424	STRPU_04112
TCONS_00030969	STRPU_04113
TCONS_00031146	STRPU_04121
TCONS_00031058	STRPU_04125
TCONS_00031429	STRPU_04126
TCONS_00030814	STRPU_04132
TCONS_00031349	STRPU_04134
TCONS_00030829	STRPU_04135
TCONS_00029989	STRPU_04136
TCONS_00029914	STRPU_04138
TCONS_00031386	STRPU_04140
TCONS_00031385	STRPU_04141
